ada,,'~\b,\b~',"'~\bada\b~',"
menunjuknya,,,,"'~\bmenunjuknya\b~',"
menurut,,,,"'~\bmenurut\b~',"
menuturkan,,,,"'~\bmenuturkan\b~',"
menyampaikan,,,,"'~\bmenyampaikan\b~',"
menyangkut,,,,"'~\bmenyangkut\b~',"
menyatakan,,,,"'~\bmenyatakan\b~',"
menyebutkan,,,,"'~\bmenyebutkan\b~',"
menyeluruh,,,,"'~\bmenyeluruh\b~',"
menyiapkan,,,,"'~\bmenyiapkan\b~',"
merasa,,,,"'~\bmerasa\b~',"
mereka,,,,"'~\bmereka\b~',"
merekalah,,,,"'~\bmerekalah\b~',"
merupakan,,,,"'~\bmerupakan\b~',"
meski,,,,"'~\bmeski\b~',"
meskipun,,,,"'~\bmeskipun\b~',"
meyakini,,,,"'~\bmeyakini\b~',"
meyakinkan,,,,"'~\bmeyakinkan\b~',"
minta,,,,"'~\bminta\b~',"
mirip,,,,"'~\bmirip\b~',"
misal,,,,"'~\bmisal\b~',"
misalkan,,,,"'~\bmisalkan\b~',"
misalnya,,,,"'~\bmisalnya\b~',"
mula,,,,"'~\bmula\b~',"
mulai,,,,"'~\bmulai\b~',"
mulailah,,,,"'~\bmulailah\b~',"
mulanya,,,,"'~\bmulanya\b~',"
mungkin,,,,"'~\bmungkin\b~',"
mungkinkah,,,,"'~\bmungkinkah\b~',"
nah,,,,"'~\bnah\b~',"
naik,,,,"'~\bnaik\b~',"
namun,,,,"'~\bnamun\b~',"
nanti,,,,"'~\bnanti\b~',"
nantinya,,,,"'~\bnantinya\b~',"
nyaris,,,,"'~\bnyaris\b~',"
nyatanya,,,,"'~\bnyatanya\b~',"
oleh,,,,"'~\boleh\b~',"
olehnya,,,,"'~\bolehnya\b~',"
pada,,,,"'~\bpada\b~',"
padahal,,,,"'~\bpadahal\b~',"
padanya,,,,"'~\bpadanya\b~',"
pak,,,,"'~\bpak\b~',"
paling,,,,"'~\bpaling\b~',"
panjang,,,,"'~\bpanjang\b~',"
pantas,,,,"'~\bpantas\b~',"
para,,,,"'~\bpara\b~',"
pasti,,,,"'~\bpasti\b~',"
pastilah,,,,"'~\bpastilah\b~',"
penting,,,,"'~\bpenting\b~',"
pentingnya,,,,"'~\bpentingnya\b~',"
per,,,,"'~\bper\b~',"
